item_id,content_hash,flesch_kincaid_grade,mean_sentence_length,med_term_density,word_count,sentence_count
askdocs_1uk5x6h,d174aa2014e79a18,3.684,10.6,10.909,53,5
askdocs_1uk5zu6,c772a614ada9e972,7.447,13.684,6.464,260,19
askdocs_1uk60su,5263fcb7f168d0f8,8.794,12.828,13.193,372,29
askdocs_1uk62ld,99e7803f7a90fe37,6.947,15.042,6.299,361,24
askdocs_1uk632o,f16643a78c1f93ad,7.968,21.25,15.909,85,4
askdocs_1uk64sf,88b2a2e24182146c,8.555,17.545,11.386,193,11
askdocs_1uk6641,4cb640bb51d5de91,9.715,21.577,10.783,561,26
askdocs_1uk66ir,d708b97134fc4bdf,6.235,8.5,13.462,51,6
askdocs_1uk68fs,f6d85f00cce50a82,9.915,26.333,8.75,79,3
askdocs_1uk68wx,515ea5dc012236e1,5.081,11.636,6.977,128,11
askdocs_1uk690y,7c0818571687266d,4.058,11.545,7.463,127,11
askdocs_1uk6ay7,79bced0e037ec373,8.679,17.833,15.315,107,6
askdocs_1uk6jor,60e3299dc2e1d7ef,6.978,15.333,13.889,138,9
askdocs_1uk6jsm,97ca7960ed72f8ac,6.172,14.312,11.638,229,16
askdocs_1uk6jt4,57ced1863a4cf5a2,35.374,90.0,11.111,90,1
askdocs_1uk6l2g,6f0dba2624b53192,7.669,19.4,8.673,194,10
askdocs_1uk6mmt,a7d8b77a276eb45e,5.327,15.273,11.31,168,11
askdocs_1uk6mxy,d75f5e736cceff69,5.876,13.909,6.832,153,11
askdocs_1uk6pn5,56c92331cef905b7,13.329,28.5,13.115,114,4
askdocs_1uk6tz7,ead48f78cbd1d094,11.925,22.267,7.932,334,15
askdocs_1uk6ux0,fee7135d51881d67,8.469,17.053,9.94,324,19
askdocs_1uk6vib,8cba3b2ca7fd894b,6.88,19.667,8.871,118,6
askdocs_1uk6wj5,c9ad29017ddc8bbf,8.096,19.609,10.398,451,23
askdocs_1uk6xoh,83fadac0a7ace2cf,6.263,12.878,10.559,631,49
askdocs_1uk6xum,4cbf12e57e2f39f3,9.421,20.5,10.089,328,16
askdocs_1uk72bh,f410f946dfca6483,8.418,19.9,10.837,199,10
askdocs_1uk73ed,3676c030ca3bdc84,11.34,23.667,18.121,142,6
askdocs_1uk73qt,3ca23327fcc0960f,6.766,16.3,14.371,163,10
askdocs_1uk74v7,4ee175afb83de76a,8.345,18.733,7.774,281,15
askdocs_1uk797q,f0376126ea5fe052,13.163,33.333,7.5,200,6
askdocs_1uk79n7,3fd99f10bf9bafc8,11.301,27.667,4.819,332,12
askdocs_1uk7bmg,f293c4ec7a204369,8.008,22.0,9.091,22,1
askdocs_1uk7dfr,4dbbc9c6a893c7c7,9.698,21.0,8.974,147,7
askdocs_1uk7e2i,6fac051ded6f0c49,11.36,27.0,5.67,189,7
askdocs_1uk7enx,e41f1c59b4560359,10.584,18.667,8.571,168,9
askdocs_1uk7es6,05d8ea46c5cc8377,5.865,12.562,8.571,201,16
askdocs_1uk7hmn,09d7bd69c9bb0561,9.63,21.0,12.766,273,13
askdocs_1uk7ka8,dd1e80edd1847bf7,4.961,6.75,25.0,27,4
askdocs_1uk7kwy,98acc0bfbbddd562,5.883,18.75,5.063,75,4
askdocs_1uk7ndb,5f45463b9583adea,11.009,18.294,13.376,311,17
askdocs_1uk7ore,1bd377f73af0b257,9.965,21.125,10.169,169,8
askdocs_1uk7rul,e4cd761bf9f84e87,55.484,144.0,5.556,144,1
askdocs_1uk7sgk,12b195787e287984,7.099,14.833,7.812,178,12
askdocs_1uk7swq,511201f315cf0156,2.246,10.571,6.494,74,7
askdocs_1uk7wyg,b2765a03d7fd8c55,11.032,25.739,14.238,592,23
askdocs_1uk819d,60a5bb4a259c4598,5.099,6.5,19.231,26,4
askdocs_1uk850s,e8381f45a642bd6e,5.446,15.25,7.576,122,8
askdocs_1uk8692,c84aeac913ac734d,4.45,12.2,7.937,61,5
askdocs_1uk871a,be112514a423a0f8,9.148,15.327,8.973,751,49
askdocs_1uk87ep,589f872de1611f62,4.034,13.167,16.049,79,6
askdocs_1uk87jd,294deae6bb408f9f,5.689,13.0,6.593,91,7
askdocs_1uk88z3,73afc34d6d50563e,4.959,10.846,6.338,141,13
askdocs_1uk895r,18838f9b00b51612,6.679,12.462,8.284,162,13
askdocs_1uk89sf,15f6509dce140298,7.229,18.375,7.237,147,8
askdocs_1uk8bj8,27c1d0c0e7a9cd00,7.562,14.625,16.456,234,16
askdocs_1uk8eg2,07a4233c8e19269a,9.222,20.0,6.4,120,6
askdocs_1uk8fyu,202097aaf699e641,78.205,193.0,10.363,193,1
askdocs_1uk8gdw,96a2f36a46b1e9aa,2.278,7.875,14.062,63,8
askdocs_1uk8lf2,de8cc2232566708e,6.473,15.75,7.031,252,16
askdocs_1uk8p9g,a6eb6975d14dfc6f,15.434,32.571,17.094,228,7
askdocs_1uk8tfx,7b597184be57bafc,6.858,15.846,5.314,206,13
askdocs_1uk8u3y,d6dbc7f85b6eb54b,4.161,10.917,9.701,131,12
askdocs_1uk8v43,1db6503a308615fb,9.54,22.636,15.936,249,11
askdocs_1uk8vmq,45a01afb3443ae12,4.6,20.0,35.0,20,1
askdocs_1uk8ysh,e62324a81200ffec,1.734,8.4,11.628,42,5
askdocs_1uk8yt2,9dbbc6068c69d9d0,4.612,16.5,9.091,66,4
askdocs_1uk93ht,de73eb6830b97711,6.427,15.375,4.615,123,8
askdocs_1uk93j4,b38db90d7b04faf0,2.819,16.0,15.152,32,2
askdocs_1uk9fvm,cfaf41364819b891,9.568,11.692,16.279,456,39
askdocs_1uk9gjq,8a5d820ea9dc592d,18.172,38.0,20.513,38,1
askdocs_1uk9gyz,47d62012923f2102,6.871,17.25,5.333,69,4
askdocs_1uk9hdj,bde1905f925fbd5b,8.093,15.583,8.763,187,12
askdocs_1uk9kkh,38a8879aa3fb7b44,7.054,18.0,8.475,108,6
askdocs_1uk9o2j,38833bebba5a3cd4,5.342,10.75,4.651,43,4
askdocs_1uk9pqs,a285c3d056745884,9.589,21.5,19.824,215,10
askdocs_1uk9pz1,e1dbfab689d42faf,6.556,12.6,10.294,126,10
askdocs_1uk9r3d,06f3376a7603ac10,5.104,12.0,5.747,84,7
askdocs_1uk9rzt,7ad748473cd7d6dc,7.202,15.667,13.801,423,27
askdocs_1uk9s7d,e08cc0658796c328,3.212,11.8,9.836,59,5
askdocs_1uk9x48,641bffbe185be86c,3.115,10.5,3.448,84,8
askdocs_1uka2ys,75f871411138f65a,8.968,20.231,8.378,526,26
askdocs_1uka4ln,14b30bc0b291de78,4.807,11.692,14.744,152,13
askdocs_1uka5qq,3218b81c3ef7ffb5,10.072,22.5,8.824,225,10
askdocs_1uka6f5,017c7b641fee8b25,6.453,15.421,8.97,293,19
askdocs_1uka7ly,2ff12c4ecf4d7256,8.319,19.75,7.595,158,8
askdocs_1uka8ty,2377807fb2b302e7,6.137,16.0,10.145,64,4
askdocs_1ukaatw,acd632aef8b65505,11.011,27.5,21.429,55,2
askdocs_1ukadej,f225380d4a3a375a,12.64,27.0,10.714,54,2
askdocs_1ukaegd,653a7b2fb9329ecf,8.221,17.667,9.091,53,3
askdocs_1ukafgy,c1b8c769a773d657,7.666,15.444,11.268,139,9
askdocs_1ukafxd,02649f14312aa87f,7.385,15.333,3.243,184,12
askdocs_1ukahqd,0a69a11d50afc355,7.642,17.778,5.521,160,9
askdocs_1ukaiw1,8611ebb957ae6676,6.529,17.25,13.043,69,4
askdocs_1ukakh0,a9eae18d3cf2fb7c,4.648,11.833,12.329,71,6
askdocs_1ukam0h,9c6582db9c2d8670,9.084,17.515,12.646,578,33
askdocs_1ukam5r,14dc0ab2d8821a7a,4.608,9.8,9.615,49,5
askdocs_1ukap2e,c42f34208c1712b7,6.2,14.444,5.344,130,9
askdocs_1ukapnx,6c547a536e7d01ef,7.418,17.5,5.405,35,2
askdocs_1ukaq36,55ecb2afb8072103,7.944,16.368,11.746,311,19
askdocs_1ukaxg1,3072ad5ba6410233,7.346,19.0,7.692,38,2
askdocs_1ukaxqo,1251f39766547fcb,4.949,13.95,10.877,279,20
askdocs_1ukaz54,ecdc368b4e6f77e3,4.862,11.438,7.368,183,16
askdocs_1ukb024,ce96f7a50583e894,9.327,23.2,8.403,116,5
askdocs_1ukb0p5,0c1ba9cbcc5dfdc3,10.452,19.0,6.395,171,9
askdocs_1ukb1xf,59c1266514537d48,2.709,8.857,7.937,62,7
askdocs_1ukb5g1,0588d799f5f238e8,6.566,11.545,4.478,127,11
askdocs_1ukb6u3,66342eb2dc2951ca,6.238,11.071,10.828,155,14
askdocs_1ukb99z,fd0c1220f33a7a91,2.825,8.75,13.699,70,8
askdocs_1ukbb85,eb07511bbdd6d3ac,8.333,21.0,15.909,42,2
askdocs_1ukbci2,6d8a70a08c28958d,6.995,16.25,7.857,130,8
askdocs_1ukbda8,b560d730d80caa00,12.725,21.531,14.714,689,32
askdocs_1ukbga3,75218b34c68126ec,6.557,7.2,13.514,36,5
askdocs_1ukbgjx,59359cba7db35900,6.613,14.143,11.215,198,14
askdocs_1ukbib7,36fda69065d5a89f,56.903,143.5,5.424,287,2
askdocs_1ukbkzq,4a2dec5a57af8fe9,4.058,10.667,9.375,64,6
askdocs_1ukbpnx,6b7347c3cccef85d,8.629,13.6,10.145,68,5
askdocs_1ukbvql,dc2ccf20b441b262,8.312,19.0,11.681,342,18
askdocs_1ukby6s,39d61f80feff205a,5.954,16.6,9.412,166,10
askdocs_1ukbzf8,fa8c6348f88f93f5,15.972,32.75,17.718,655,20
askdocs_1ukc0bz,4b46b5a1120d701b,8.585,20.143,6.792,423,21
askdocs_1ukc0qg,af1a6b7bf33405ee,6.413,15.25,5.344,122,8
askdocs_1ukc2ow,767ff1f1f0fa8ccb,8.074,20.0,8.587,360,18
askdocs_1ukc573,9366736d494f2f78,9.415,19.8,11.962,198,10
askdocs_1ukc6u1,19f229e0b23f435c,7.413,11.0,6.796,99,9
askdocs_1ukc9i5,5e8fd3b11d1edc29,4.693,11.667,4.348,105,9
askdocs_1ukcae6,861cc7327b3360e1,0.416,7.6,7.5,38,5
askdocs_1ukcbic,61f858e2741980ce,5.996,14.12,10.393,353,25
askdocs_1ukceul,5bff27c387744fec,2.957,11.25,4.255,45,4
askdocs_1ukcg7n,ca8fb3ada418dc8f,6.711,10.571,12.162,74,7
askdocs_1ukcicc,116467a455b55168,7.74,16.7,7.514,167,10
askdocs_1ukcil3,daab93860ac5072c,7.368,17.0,8.403,357,21
askdocs_1ukcko8,cc5f1c0bb669c260,17.152,33.75,5.674,135,4
askdocs_1ukcnh2,20a35fd8111a1e21,8.281,14.375,8.197,115,8
askdocs_1ukcp09,c2ed766a8afd295b,6.757,14.667,4.444,44,3
askdocs_1ukcr2q,5c9468be7a328e4e,4.217,8.364,3.191,92,11
askdocs_1ukct9f,07117ffecbbb09ce,8.539,18.6,7.805,186,10
askdocs_1ukcxzs,f44f71dbf591555b,8.428,9.25,17.5,37,4
askdocs_1ukd46v,c143517ad66a5eae,8.192,17.917,8.297,215,12
askdocs_1ukd5d7,cf14c696a3c5011e,4.742,10.133,10.897,152,15
askdocs_1ukd806,37b9943b81ff89df,7.233,14.0,10.811,70,5
askdocs_1ukdbz3,cab379f47690f548,8.199,16.235,10.862,828,51
askdocs_1ukdd25,11e08b7799a07cd2,10.797,26.4,14.706,132,5
askdocs_1ukdf0h,c79ceb885c6cf85d,10.735,25.273,10.877,278,11
askdocs_1ukdi4e,3a3a3124c1ae70be,27.05,70.0,11.268,70,1
askdocs_1ukdm2u,09a87619a1ee5f38,11.017,25.0,9.091,175,7
askdocs_1ukdmqo,056c0a2727e1f54f,6.945,14.306,11.09,515,36
askdocs_1ukdphw,d42232101f37dba7,9.302,19.857,17.483,139,7
askdocs_1ukdqpx,027d3b8a87b76ad1,5.817,11.667,9.091,175,15
askdocs_1ukdtlv,c7a8486128916051,6.763,14.75,15.152,295,20
