item_id,content_hash,flesch_kincaid_grade,mean_sentence_length,med_term_density,word_count,sentence_count
LMQ-00022b906ea4,194d7717e15068c0,7.24,10.545,19.492,116,11
LMQ-012dace07806,9ee310b749a851c3,8.706,12.667,23.387,114,9
LMQ-0154680f89ee,0d775470e8f62f47,10.622,16.727,22.222,184,11
LMQ-01f3746878d7,f5017f34d751136e,9.5,14.222,20.896,128,9
LMQ-024246efd830,1a07259cb0d88b39,9.435,15.2,24.096,152,10
LMQ-02c268aed7f9,670b0251ec2f4e22,11.315,18.0,24.074,54,3
LMQ-037610d82aca,bb9dd63cffd59a0c,12.3,16.5,18.627,99,6
LMQ-05573f2bd462,17dce9a48960801b,8.315,13.0,18.994,156,12
LMQ-05996a02a540,a1f9da4e63be0be0,9.091,17.167,11.429,103,6
LMQ-06eb298956dd,f2d2679f898ec954,13.305,10.0,30.088,110,11
LMQ-0715c3227d2c,6b5371921ba4cd1b,8.937,13.545,18.235,149,11
LMQ-076c1bf491c0,c2cee9d56d88c035,8.684,10.706,26.923,182,17
LMQ-07b48c95b582,0263071735b4f1b1,11.593,17.333,24.706,156,9
LMQ-07c2f1f93c09,0957f9742bbe6417,7.911,11.364,23.308,125,11
LMQ-07c89cba676a,3ca647309a3b516b,8.946,12.8,19.697,64,5
LMQ-07d4e4f31e05,14c105edbb3150c0,8.465,11.6,17.742,58,5
LMQ-086929bbaf0c,f1d6a236562a96bb,6.817,12.667,18.354,152,12
LMQ-08aae87c17fc,4455078f89111eb7,8.507,10.8,14.286,108,10
LMQ-08ca5e6fbc3e,6a09ae2f0acddf14,8.21,12.0,16.814,108,9
LMQ-0adcfc07fa33,d610b62d4bbf3a39,8.874,13.7,17.143,137,10
LMQ-0b6397e00fb5,12113d82df5f5437,9.636,11.733,22.581,176,15
LMQ-0b92ddd38b76,347b38577d633b98,10.484,15.333,12.857,138,9
LMQ-0c071ca61c99,aa8f4a885ac348ca,9.367,13.0,21.053,143,11
