item_id,content_hash,flesch_kincaid_grade,mean_sentence_length,med_term_density,word_count,sentence_count
meqsum_0001,5c3ec4b47c410388,7.57,14.0,13.793,28,2
meqsum_0002,be09354195ad58c9,8.587,24.25,12.245,97,4
meqsum_0003,81974348fc86ffd2,10.31,23.0,4.348,23,1
meqsum_0004,ffd44b70744c891c,5.3,15.5,16.129,31,2
meqsum_0005,1c5f4615259ce184,9.259,16.75,13.235,67,4
meqsum_0006,20c47856d3896b3f,6.132,11.0,11.364,44,4
meqsum_0007,28e737f645a66222,7.365,13.75,14.545,55,4
meqsum_0008,74f75f425c454511,7.946,12.7,11.719,127,10
meqsum_0009,7704d3199425fe58,3.761,11.4,7.018,57,5
meqsum_0010,8e69e090dd6ef6ae,10.249,20.5,9.524,41,2
meqsum_0011,ee5d9a93cafcf376,8.905,13.5,7.407,27,2
meqsum_0012,29928fc4fd6bd5e2,7.304,15.0,21.277,45,3
meqsum_0013,faddc5719efc6af9,12.187,28.0,14.286,28,1
meqsum_0014,e8bf2a72bde9ae1a,11.094,9.5,36.842,19,2
meqsum_0015,d84960626f274331,8.74,17.0,7.843,102,6
meqsum_0016,4f71d63397ad0278,5.54,13.333,12.5,40,3
meqsum_0017,4ede2c034ce1f274,7.799,16.833,14.851,101,6
meqsum_0018,afa6dc6fd465aa21,7.592,15.667,12.766,47,3
meqsum_0019,3589193334095444,10.525,12.5,4.0,25,2
meqsum_0020,16a3c2fc0b475c46,7.61,10.5,19.048,21,2
meqsum_0021,759d8e37e04d0faf,8.7,9.333,25.0,28,3
meqsum_0022,a428330bfb1b953f,14.779,13.667,21.429,41,3
meqsum_0023,ea6f673f4ee45bc3,4.921,12.25,10.135,147,12
meqsum_0024,58c2584f1b8fbc23,6.1,9.6,17.308,48,5
meqsum_0025,33994ed01939a741,6.749,12.5,46.154,25,2
meqsum_0026,f9afc53feae45c5a,3.26,11.5,6.522,46,4
meqsum_0027,a0ca65a93159d68b,14.702,18.0,30.556,36,2
meqsum_0028,e7a37deabcd6de87,6.383,7.667,0.0,23,3
meqsum_0029,d403b0cc9daaf012,6.516,10.0,10.0,70,7
meqsum_0030,a3d332b7d94c5739,10.068,12.0,8.108,36,3
meqsum_0031,9e7ea04d4783043e,2.84,9.125,5.333,73,8
meqsum_0032,aa9d127f7bdd80ee,9.246,11.5,23.188,69,6
meqsum_0033,28c3844afc92c613,15.798,41.0,15.854,82,2
meqsum_0034,84675d9ed4406f6e,7.694,13.625,7.018,109,8
meqsum_0035,1056336beae621a5,0.517,6.0,33.333,12,2
meqsum_0036,b1bedf9b83805ef6,9.487,15.5,20.588,31,2
meqsum_0037,c6fc219b41f4682d,5.42,10.0,20.0,20,2
meqsum_0038,4c67612822a8b58b,5.092,12.778,7.463,115,9
meqsum_0039,efafc9a31c4cd860,8.986,14.5,20.339,58,4
meqsum_0040,401af765ae15ca7b,6.574,13.5,9.756,81,6
meqsum_0041,3fe81bdfe74df61d,8.193,21.0,5.952,84,4
meqsum_0042,834fac1ea3f2e3cf,8.842,16.0,26.531,48,3
meqsum_0043,8dc5e2b08528e9f4,3.718,11.0,18.182,22,2
meqsum_0044,61d4d262fb2b07e6,6.078,13.75,7.273,55,4
meqsum_0045,0db18aa967e0057c,8.37,10.0,6.667,30,3
meqsum_0046,58d706250e190d14,9.797,16.5,15.152,33,2
meqsum_0047,01f499b5801c5d9a,7.025,14.667,11.364,44,3
meqsum_0048,bb16645f3d7cb802,6.531,14.714,13.208,103,7
meqsum_0049,40ea219536b689cf,10.68,25.0,4.0,50,2
meqsum_0050,7eb1420c33bfd399,6.118,12.667,10.526,38,3
meqsum_0051,7af639bb36d29e8f,7.348,15.143,14.151,106,7
meqsum_0052,6fffdd3c9af82d2c,15.64,12.0,16.667,12,1
meqsum_0053,b932ef583414b5e2,10.358,21.5,9.302,43,2
meqsum_0054,8d12e2127f6a3b34,16.858,22.0,22.222,44,2
meqsum_0055,5438105dbf410e7a,9.375,10.333,24.242,31,3
meqsum_0056,9e2b93e0b1efd65a,5.948,8.4,30.952,42,5
meqsum_0057,fb9689752f6094e2,13.451,28.0,0.0,28,1
meqsum_0058,0b1e2c9c616258c9,6.744,17.5,5.714,35,2
meqsum_0059,a2695d780e4c9a69,14.072,14.5,18.75,29,2
meqsum_0060,90e5e824a76a1f9c,5.362,10.5,19.048,21,2
meqsum_0061,64a4bc92b1d7cbad,8.379,11.286,14.943,79,7
meqsum_0062,6cc76c6ff0ceb58b,6.429,12.667,14.035,114,9
meqsum_0063,a54fbd221e534e1d,33.184,84.0,15.476,84,1
meqsum_0064,29654dc39e438e82,10.38,25.25,7.692,101,4
meqsum_0065,7d66d91e65d4e28c,3.65,10.0,10.0,20,2
meqsum_0066,0720649db149feb1,3.576,7.0,9.677,28,4
meqsum_0067,f58377921085334d,5.099,6.5,17.241,26,4
meqsum_0068,b4f1cd2f8301b77b,5.103,9.125,18.919,73,8
meqsum_0069,acae4afa33d2c6d2,10.862,21.0,26.19,42,2
meqsum_0070,cd72a72d84d6d10e,7.699,17.0,13.725,51,3
meqsum_0071,6316225caa39a0a7,8.088,13.0,23.077,26,2
meqsum_0072,10068fcdb430a8ce,7.522,12.154,15.094,158,13
meqsum_0073,a9bbce960c55a1c0,8.747,15.0,12.903,60,4
meqsum_0074,0c3102c71e3064a1,7.19,10.0,19.048,20,2
meqsum_0075,ed19eb7dd44267f0,8.411,11.0,14.433,88,8
meqsum_0076,037384913e23e908,10.1,24.5,10.0,49,2
meqsum_0077,5cb4174408728f22,13.288,34.0,17.391,68,2
meqsum_0078,3f2dcc6f90ba537c,8.494,19.571,13.571,137,7
meqsum_0079,65d8783df1cb3f59,0.805,8.0,18.75,16,2
meqsum_0080,77b8b267934f26c0,9.081,22.0,2.273,44,2
meqsum_0081,ae2d025d7524022e,0.942,8.625,15.942,69,8
meqsum_0082,818cc085bcfe464d,5.276,10.571,13.514,74,7
meqsum_0083,0cd6569cec4e5b61,2.543,5.0,10.526,35,7
meqsum_0084,d4780b3b77745a59,5.043,12.4,3.125,62,5
meqsum_0085,e9decf9af9cf3cdb,5.292,9.0,12.5,72,8
meqsum_0086,cd25e13ecfef7bd0,8.235,11.889,13.514,107,9
meqsum_0087,8e4a41b70f6ecdc0,7.282,12.0,4.0,24,2
meqsum_0088,7769b8af5c328b62,9.349,22.0,17.778,44,2
meqsum_0089,8983960e6b6e1254,-0.01,6.667,5.0,20,3
meqsum_0090,17bf7cf3e67d9a50,6.28,19.667,13.559,59,3
meqsum_0091,131f8b62e829adf5,3.361,7.333,18.182,22,3
meqsum_0092,a6fa1377a6667ba4,9.944,23.75,12.5,95,4
meqsum_0093,b93c8192463367b7,5.993,15.0,16.667,30,2
meqsum_0094,f122b73a5cc3bfe2,8.009,11.0,21.212,33,3
meqsum_0095,9386af4aeba200ef,10.399,22.75,10.87,91,4
meqsum_0096,58a47ec6c024bba6,5.4,16.0,18.75,16,1
meqsum_0097,eade5ac5091d2118,8.542,13.0,11.538,26,2
meqsum_0098,b6da2a8d81f4cd16,9.424,13.833,14.286,83,6
meqsum_0099,9e58df971f07c6e1,-0.498,7.0,19.048,21,3
meqsum_0100,8223ef3ea5f52509,1.468,6.5,15.385,26,4
meqsum_0101,e3a9c69da4090573,12.876,23.0,4.167,23,1
meqsum_0102,3bb442cfa605f49a,7.15,9.0,29.63,27,3
meqsum_0103,9a493af664aa7f96,8.516,18.4,9.574,92,5
meqsum_0104,0c692b56c72dc523,4.566,12.667,10.526,38,3
meqsum_0105,e2bbdd980ac95fb3,9.797,16.5,9.091,33,2
meqsum_0106,bc7812cc6b79fb3e,1.785,6.333,17.949,38,6
meqsum_0107,be220c35de12350f,4.255,11.0,18.182,22,2
meqsum_0108,264ed72e181a7716,5.683,7.0,21.429,14,2
meqsum_0109,efdfa626013651d1,7.115,16.5,17.647,66,4
meqsum_0110,088c6597e01ee238,9.874,23.4,16.529,117,5
meqsum_0111,c65d29832dcf04b1,3.645,9.25,10.811,37,4
meqsum_0112,0224d151c48a7aa3,3.095,13.0,0.0,26,2
meqsum_0113,7b817d713d3f3313,8.069,7.571,18.868,53,7
meqsum_0114,4d40402972da2f94,9.339,9.667,0.0,29,3
meqsum_0115,1c3e628e35005ef7,8.28,19.667,16.667,59,3
meqsum_0116,9fc045fa540da0d4,5.691,8.75,18.919,35,4
meqsum_0117,2159323ae90cf107,7.504,10.875,10.112,87,8
meqsum_0118,1634b9eb8cb796fe,5.642,14.333,18.605,43,3
meqsum_0119,1c84356e4aebec05,4.309,9.0,24.074,54,6
meqsum_0120,9338cfcd08a33003,11.243,27.2,3.676,136,5
meqsum_0121,b483913a36a1220d,4.791,8.25,24.242,33,4
meqsum_0122,961c0bb90427220c,9.618,16.5,17.647,66,4
meqsum_0123,d0289da9dcf5cc2e,5.093,8.444,11.111,152,18
